Radius(nm),EnergyDeposition(eV/nm^2),BinLower(nm),BinUpper(nm),Events
0.521,1.557784e+01,0.000,0.542,1000000
0.565,1.408983e+01,0.542,0.588,1000000
0.613,1.369933e+01,0.588,0.638,1000000
0.665,1.314531e+01,0.638,0.692,1000000
0.721,1.254416e+01,0.692,0.751,1000000
0.782,1.202198e+01,0.751,0.815,1000000
0.849,1.138623e+01,0.815,0.884,1000000
0.920,1.008737e+01,0.884,0.959,1000000
0.999,9.426786e+00,0.959,1.040,1000000
1.083,8.572248e+00,1.040,1.128,1000000
1.175,7.746924e+00,1.128,1.224,1000000
1.275,6.525272e+00,1.224,1.328,1000000
1.383,5.536210e+00,1.328,1.440,1000000
1.500,4.606014e+00,1.440,1.562,1000000
1.627,3.635065e+00,1.562,1.695,1000000
1.765,2.763176e+00,1.695,1.838,1000000
1.915,2.060368e+00,1.838,1.994,1000000
2.077,1.427584e+00,1.994,2.163,1000000
2.253,9.685929e-01,2.163,2.347,1000000
2.444,6.366054e-01,2.347,2.546,1000000
2.651,3.882332e-01,2.546,2.761,1000000
2.876,2.235076e-01,2.761,2.995,1000000
3.120,1.399998e-01,2.995,3.249,1000000
3.384,8.586197e-02,3.249,3.525,1000000
3.671,5.175813e-02,3.525,3.824,1000000
3.982,2.890016e-02,3.824,4.148,1000000
4.320,2.126997e-02,4.148,4.499,1000000
4.686,1.264047e-02,4.499,4.881,1000000
5.084,1.045469e-02,4.881,5.295,1000000
5.514,7.787114e-03,5.295,5.743,1000000
5.982,5.065331e-03,5.743,6.230,1000000
6.489,3.217895e-03,6.230,6.759,1000000
7.039,2.481613e-03,6.759,7.332,1000000
7.636,1.705225e-03,7.332,7.953,1000000
8.283,1.385967e-03,7.953,8.627,1000000
8.986,1.148583e-03,8.627,9.359,1000000
9.747,7.139236e-04,9.359,10.152,1000000
10.574,7.375178e-04,10.152,11.013,1000000
11.470,6.146280e-04,11.013,11.946,1000000
12.443,5.237453e-04,11.946,12.959,1000000
13.497,3.769212e-04,12.959,14.058,1000000
14.642,2.567979e-04,14.058,15.250,1000000
15.883,2.506955e-04,15.250,16.542,1000000
17.229,2.795931e-04,16.542,17.945,1000000
18.690,2.212935e-04,17.945,19.466,1000000
20.274,1.899261e-04,19.466,21.116,1000000
21.993,1.741790e-04,21.116,22.907,1000000
23.858,1.385578e-04,22.907,24.848,1000000
25.880,1.112500e-04,24.848,26.955,1000000
28.074,1.083315e-04,26.955,29.240,1000000
30.454,8.190889e-05,29.240,31.719,1000000
33.036,7.672326e-05,31.719,34.408,1000000
35.837,7.599970e-05,34.408,37.325,1000000
38.875,5.642849e-05,37.325,40.489,1000000
42.171,3.917725e-05,40.489,43.922,1000000
45.746,3.871307e-05,43.922,47.645,1000000
49.624,3.273400e-05,47.645,51.685,1000000
53.831,2.351469e-05,51.685,56.066,1000000
58.394,2.168437e-05,56.066,60.819,1000000
63.345,1.679449e-05,60.819,65.975,1000000
68.715,1.413049e-05,65.975,71.569,1000000
74.541,9.775709e-06,71.569,77.636,1000000
80.860,9.073686e-06,77.636,84.218,1000000
87.715,7.371579e-06,84.218,91.357,1000000
95.151,6.076014e-06,91.357,99.102,1000000
103.217,5.086841e-06,99.102,107.504,1000000
111.968,4.075656e-06,107.504,116.617,1000000
121.460,2.729900e-06,116.617,126.504,1000000
131.757,2.327059e-06,126.504,137.228,1000000
142.927,1.923129e-06,137.228,148.862,1000000
155.044,1.529204e-06,148.862,161.482,1000000
168.188,1.006562e-06,161.482,175.172,1000000
182.446,7.771051e-07,175.172,190.022,1000000
197.913,5.618169e-07,190.022,206.132,1000000
214.692,7.277590e-07,206.132,223.607,1000000
232.892,6.263629e-07,223.607,242.563,1000000
252.636,4.790164e-07,242.563,263.127,1000000
274.054,4.267748e-07,263.127,285.434,1000000
297.287,3.009012e-07,285.434,309.632,1000000
322.490,2.885403e-07,309.632,335.881,1000000
349.829,2.436358e-07,335.881,364.356,1000000
379.486,2.352668e-07,364.356,395.245,1000000
411.658,2.010243e-07,395.245,428.752,1000000
