Radius(nm),EnergyDeposition(eV/nm^2),BinLower(nm),BinUpper(nm),Events
0.521,1.526979e+01,0.000,0.542,1000000
0.565,1.345982e+01,0.542,0.588,1000000
0.613,1.338055e+01,0.588,0.638,1000000
0.665,1.304043e+01,0.638,0.692,1000000
0.721,1.258225e+01,0.692,0.751,1000000
0.782,1.180789e+01,0.751,0.815,1000000
0.849,1.101553e+01,0.815,0.884,1000000
0.920,1.037270e+01,0.884,0.959,1000000
0.999,9.226567e+00,0.959,1.040,1000000
1.083,8.351785e+00,1.040,1.128,1000000
1.175,7.410071e+00,1.128,1.224,1000000
1.275,6.614281e+00,1.224,1.328,1000000
1.383,5.455914e+00,1.328,1.440,1000000
1.500,4.529363e+00,1.440,1.562,1000000
1.627,3.617425e+00,1.562,1.695,1000000
1.765,2.783594e+00,1.695,1.838,1000000
1.915,2.073765e+00,1.838,1.994,1000000
2.077,1.461574e+00,1.994,2.163,1000000
2.253,1.010378e+00,2.163,2.347,1000000
2.444,6.292246e-01,2.347,2.546,1000000
2.651,3.993892e-01,2.546,2.761,1000000
2.876,2.416116e-01,2.761,2.995,1000000
3.120,1.402848e-01,2.995,3.249,1000000
3.384,8.808757e-02,3.249,3.525,1000000
3.671,5.322299e-02,3.525,3.824,1000000
3.982,3.546014e-02,3.824,4.148,1000000
4.320,2.392883e-02,4.148,4.499,1000000
4.686,1.648340e-02,4.499,4.881,1000000
5.084,1.146362e-02,4.881,5.295,1000000
5.514,7.289582e-03,5.295,5.743,1000000
5.982,5.377849e-03,5.743,6.230,1000000
6.489,4.460362e-03,6.230,6.759,1000000
7.039,2.841170e-03,6.759,7.332,1000000
7.636,2.159998e-03,7.332,7.953,1000000
8.283,1.470073e-03,7.953,8.627,1000000
8.986,1.276196e-03,8.627,9.359,1000000
9.747,1.020042e-03,9.359,10.152,1000000
10.574,7.110062e-04,10.152,11.013,1000000
11.470,5.965188e-04,11.013,11.946,1000000
12.443,4.055109e-04,11.946,12.959,1000000
13.497,4.703021e-04,12.959,14.058,1000000
14.642,3.372644e-04,14.058,15.250,1000000
15.883,2.386135e-04,15.250,16.542,1000000
17.229,2.554486e-04,16.542,17.945,1000000
18.690,2.204166e-04,17.945,19.466,1000000
20.274,1.617001e-04,19.466,21.116,1000000
21.993,1.523996e-04,21.116,22.907,1000000
23.858,1.574884e-04,22.907,24.848,1000000
25.880,1.301392e-04,24.848,26.955,1000000
28.074,9.521990e-05,26.955,29.240,1000000
30.454,9.401414e-05,29.240,31.719,1000000
33.036,7.567443e-05,31.719,34.408,1000000
35.837,6.623441e-05,34.408,37.325,1000000
38.875,6.736322e-05,37.325,40.489,1000000
42.171,4.241924e-05,40.489,43.922,1000000
45.746,3.525056e-05,43.922,47.645,1000000
49.624,3.749618e-05,47.645,51.685,1000000
53.831,2.671115e-05,51.685,56.066,1000000
58.394,1.800908e-05,56.066,60.819,1000000
63.345,2.016011e-05,60.819,65.975,1000000
68.715,1.451556e-05,65.975,71.569,1000000
74.541,1.069431e-05,71.569,77.636,1000000
80.860,9.068719e-06,77.636,84.218,1000000
87.715,6.779638e-06,84.218,91.357,1000000
95.151,4.673864e-06,91.357,99.102,1000000
103.217,3.516325e-06,99.102,107.504,1000000
111.968,3.974650e-06,107.504,116.617,1000000
121.460,3.247336e-06,116.617,126.504,1000000
131.757,2.127735e-06,126.504,137.228,1000000
142.927,1.635412e-06,137.228,148.862,1000000
155.044,1.045792e-06,148.862,161.482,1000000
168.188,2.190767e-06,161.482,175.172,1000000
182.446,1.404491e-06,175.172,190.022,1000000
197.913,8.827346e-07,190.022,206.132,1000000
214.692,6.868196e-07,206.132,223.607,1000000
232.892,6.526803e-07,223.607,242.563,1000000
252.636,4.749766e-07,242.563,263.127,1000000
274.054,3.344047e-07,263.127,285.434,1000000
297.287,2.683493e-07,285.434,309.632,1000000
322.490,1.949337e-07,309.632,335.881,1000000
349.829,1.671997e-07,335.881,364.356,1000000
379.486,1.472886e-07,364.356,395.245,1000000
411.658,1.280641e-07,395.245,428.752,1000000
446.557,9.985942e-08,428.752,465.100,1000000
484.414,8.562167e-08,465.100,504.530,1000000
525.481,1.155040e-07,504.530,547.302,1000000
570.029,8.218951e-08,547.302,593.700,1000000
618.354,5.857860e-08,593.700,644.032,1000000
670.776,6.912623e-08,644.032,698.631,1000000
727.642,3.243865e-08,698.631,757.858,1000000
789.329,2.404195e-08,757.858,822.107,1000000
856.245,2.217358e-08,822.107,891.802,1000000
928.835,3.326139e-08,891.802,967.406,1000000
1007.578,1.641956e-08,967.406,1049.419,1000000
1092.997,1.641769e-08,1049.419,1138.385,1000000
1185.657,1.529074e-08,1138.385,1234.893,1000000
1286.173,1.028086e-08,1234.893,1339.582,1000000
1395.210,1.087121e-08,1339.582,1453.147,1000000
1513.491,1.323832e-08,1453.147,1576.340,1000000
1641.799,7.172055e-09,1576.340,1709.976,1000000
1780.984,5.163599e-09,1709.976,1854.941,1000000
1931.970,8.262044e-09,1854.941,2012.197,1000000
2095.755,6.175979e-09,2012.197,2182.783,1000000
2273.425,3.020553e-09,2182.783,2367.832,1000000
