Radius(nm),EnergyDeposition(eV/nm^2),BinLower(nm),BinUpper(nm),Events
0.521,1.542885e+01,0.000,0.542,1000000
0.565,1.407553e+01,0.542,0.588,1000000
0.613,1.319339e+01,0.588,0.638,1000000
0.665,1.315319e+01,0.638,0.692,1000000
0.721,1.246277e+01,0.692,0.751,1000000
0.782,1.176524e+01,0.751,0.815,1000000
0.849,1.097968e+01,0.815,0.884,1000000
0.920,1.005005e+01,0.884,0.959,1000000
0.999,9.119521e+00,0.959,1.040,1000000
1.083,8.386548e+00,1.040,1.128,1000000
1.175,7.484027e+00,1.128,1.224,1000000
1.275,6.474853e+00,1.224,1.328,1000000
1.383,5.431830e+00,1.328,1.440,1000000
1.500,4.481424e+00,1.440,1.562,1000000
1.627,3.607435e+00,1.562,1.695,1000000
1.765,2.792019e+00,1.695,1.838,1000000
1.915,1.987500e+00,1.838,1.994,1000000
2.077,1.447555e+00,1.994,2.163,1000000
2.253,9.562662e-01,2.163,2.347,1000000
2.444,6.095327e-01,2.347,2.546,1000000
2.651,3.722324e-01,2.546,2.761,1000000
2.876,2.226563e-01,2.761,2.995,1000000
3.120,1.291119e-01,2.995,3.249,1000000
3.384,7.358394e-02,3.249,3.525,1000000
3.671,4.361519e-02,3.525,3.824,1000000
3.982,3.045338e-02,3.824,4.148,1000000
4.320,2.045547e-02,4.148,4.499,1000000
4.686,1.214283e-02,4.499,4.881,1000000
5.084,9.409837e-03,4.881,5.295,1000000
5.514,7.060207e-03,5.295,5.743,1000000
5.982,4.313811e-03,5.743,6.230,1000000
6.489,3.467699e-03,6.230,6.759,1000000
7.039,2.336271e-03,6.759,7.332,1000000
7.636,1.682496e-03,7.332,7.953,1000000
8.283,1.255661e-03,7.953,8.627,1000000
8.986,9.662280e-04,8.627,9.359,1000000
9.747,7.244937e-04,9.359,10.152,1000000
10.574,6.984760e-04,10.152,11.013,1000000
11.470,5.413091e-04,11.013,11.946,1000000
12.443,4.334153e-04,11.946,12.959,1000000
13.497,3.528979e-04,12.959,14.058,1000000
14.642,2.890767e-04,14.058,15.250,1000000
15.883,3.042206e-04,15.250,16.542,1000000
17.229,2.444982e-04,16.542,17.945,1000000
18.690,1.943361e-04,17.945,19.466,1000000
20.274,1.915985e-04,19.466,21.116,1000000
21.993,1.650897e-04,21.116,22.907,1000000
23.858,1.361193e-04,22.907,24.848,1000000
25.880,1.291338e-04,24.848,26.955,1000000
28.074,1.066037e-04,26.955,29.240,1000000
30.454,8.875780e-05,29.240,31.719,1000000
33.036,7.511385e-05,31.719,34.408,1000000
35.837,6.673086e-05,34.408,37.325,1000000
38.875,4.940103e-05,37.325,40.489,1000000
42.171,4.180963e-05,40.489,43.922,1000000
45.746,3.842774e-05,43.922,47.645,1000000
49.624,3.030971e-05,47.645,51.685,1000000
53.831,2.739920e-05,51.685,56.066,1000000
58.394,1.717540e-05,56.066,60.819,1000000
63.345,1.755099e-05,60.819,65.975,1000000
68.715,9.612915e-06,65.975,71.569,1000000
74.541,8.254078e-06,71.569,77.636,1000000
80.860,7.356464e-06,77.636,84.218,1000000
87.715,6.636788e-06,84.218,91.357,1000000
95.151,6.369303e-06,91.357,99.102,1000000
103.217,3.994322e-06,99.102,107.504,1000000
111.968,3.390538e-06,107.504,116.617,1000000
121.460,2.577733e-06,116.617,126.504,1000000
131.757,2.360131e-06,126.504,137.228,1000000
142.927,1.869378e-06,137.228,148.862,1000000
155.044,1.267220e-06,148.862,161.482,1000000
168.188,1.329514e-06,161.482,175.172,1000000
182.446,1.138213e-06,175.172,190.022,1000000
197.913,9.005112e-07,190.022,206.132,1000000
214.692,5.036263e-07,206.132,223.607,1000000
232.892,3.766789e-07,223.607,242.563,1000000
252.636,5.174853e-07,242.563,263.127,1000000
274.054,3.815702e-07,263.127,285.434,1000000
297.287,3.044500e-07,285.434,309.632,1000000
322.490,2.731329e-07,309.632,335.881,1000000
349.829,2.487257e-07,335.881,364.356,1000000
379.486,1.045354e-07,364.356,395.245,1000000
411.658,1.047773e-07,395.245,428.752,1000000
446.557,9.419071e-08,428.752,465.100,1000000
484.414,8.116179e-08,465.100,504.530,1000000
525.481,6.466445e-08,504.530,547.302,1000000
570.029,4.735103e-08,547.302,593.700,1000000
618.354,5.863705e-08,593.700,644.032,1000000
670.776,4.465323e-08,644.032,698.631,1000000
727.642,4.040016e-08,698.631,757.858,1000000
789.329,3.608638e-08,757.858,822.107,1000000
856.245,2.600866e-08,822.107,891.802,1000000
928.835,2.745518e-08,891.802,967.406,1000000
1007.578,1.884795e-08,967.406,1049.419,1000000
1092.997,1.901390e-08,1049.419,1138.385,1000000
1185.657,1.113653e-08,1138.385,1234.893,1000000
1286.173,1.111464e-08,1234.893,1339.582,1000000
1395.210,1.604535e-08,1339.582,1453.147,1000000
1513.491,7.658460e-09,1453.147,1576.340,1000000
1641.799,8.073708e-09,1576.340,1709.976,1000000
1780.984,7.336900e-09,1709.976,1854.941,1000000
1931.970,6.445061e-09,1854.941,2012.197,1000000
2095.755,8.133464e-09,2012.197,2182.783,1000000
2273.425,7.222550e-09,2182.783,2367.832,1000000
2466.158,6.604870e-09,2367.832,2568.568,1000000
2675.230,4.449906e-09,2568.568,2786.321,1000000
2902.026,2.315788e-09,2786.321,3022.535,1000000
3148.049,2.696909e-09,3022.535,3278.775,1000000
3414.929,1.974190e-09,3278.775,3556.737,1000000
3704.434,2.509807e-09,3556.737,3858.265,1000000
4018.483,2.266005e-09,3858.265,4185.354,1000000
4359.155,1.927407e-09,4185.354,4540.173,1000000
4728.708,2.301470e-09,4540.173,4925.072,1000000
5129.591,1.539219e-09,4925.072,5342.602,1000000
5564.458,2.355494e-09,5342.602,5795.528,1000000
6036.193,1.712940e-09,5795.528,6286.851,1000000
6547.919,1.594038e-09,6286.851,6819.828,1000000
7103.028,1.541328e-09,6819.828,7397.988,1000000
7705.196,1.538979e-09,7397.988,8025.162,1000000
8358.414,1.696706e-09,8025.162,8705.506,1000000
9067.010,1.297279e-09,8705.506,9443.526,1000000
9835.678,1.424568e-09,9443.526,10244.114,1000000
10669.511,1.394464e-09,10244.114,11112.572,1000000
11574.033,1.428366e-09,11112.572,12054.655,1000000
12555.237,1.291070e-09,12054.655,13076.605,1000000
13619.623,1.214879e-09,13076.605,14185.191,1000000
14774.245,1.317650e-09,14185.191,15387.760,1000000
16026.751,1.132399e-09,15387.760,16692.278,1000000
17385.441,1.264628e-09,16692.278,18107.388,1000000
18859.314,1.196902e-09,18107.388,19642.466,1000000
20458.138,1.188710e-09,19642.466,21307.682,1000000
22192.504,1.118419e-09,21307.682,23114.069,1000000
24073.903,9.173549e-10,23114.069,25073.595,1000000
26114.800,8.470903e-10,25073.595,27199.242,1000000
28328.717,7.409068e-10,27199.242,29505.094,1000000
30730.321,6.003825e-10,29505.094,32006.427,1000000
33335.525,5.089588e-10,32006.427,34719.815,1000000
36161.589,3.790154e-10,34719.815,37663.233,1000000
39227.235,2.801415e-10,37663.233,40856.184,1000000
42552.776,1.588151e-10,40856.184,44319.821,1000000
46160.244,9.645529e-11,44319.821,48077.093,1000000
50073.541,5.120812e-11,48077.093,52152.892,1000000
54318.592,2.429721e-11,52152.892,56574.223,1000000
58923.522,8.757879e-12,56574.223,61370.378,1000000
63918.842,2.234715e-12,61370.378,66573.134,1000000
69337.647,5.540903e-14,66573.134,72216.960,1000000
75215.838,2.011420e-15,72216.960,78339.248,1000000
81592.361,0.000000e+00,78339.248,84980.562,1000000
88509.462,0.000000e+00,84980.562,92184.902,1000000
96012.969,4.738846e-14,92184.902,100000.000,1000000
