Radius(nm),EnergyDeposition(eV/nm^2),BinLower(nm),BinUpper(nm),Events
0.521,1.567750e+01,0.000,0.542,1000000
0.565,1.420909e+01,0.542,0.588,1000000
0.613,1.385553e+01,0.588,0.638,1000000
0.665,1.320502e+01,0.638,0.692,1000000
0.721,1.236020e+01,0.692,0.751,1000000
0.782,1.225639e+01,0.751,0.815,1000000
0.849,1.140910e+01,0.815,0.884,1000000
0.920,1.054326e+01,0.884,0.959,1000000
0.999,9.759511e+00,0.959,1.040,1000000
1.083,8.865268e+00,1.040,1.128,1000000
1.175,7.736596e+00,1.128,1.224,1000000
1.275,6.644223e+00,1.224,1.328,1000000
1.383,5.596447e+00,1.328,1.440,1000000
1.500,4.681604e+00,1.440,1.562,1000000
1.627,3.716612e+00,1.562,1.695,1000000
1.765,2.821938e+00,1.695,1.838,1000000
1.915,2.092764e+00,1.838,1.994,1000000
2.077,1.483185e+00,1.994,2.163,1000000
2.253,1.005517e+00,2.163,2.347,1000000
2.444,6.463267e-01,2.347,2.546,1000000
2.651,4.056098e-01,2.546,2.761,1000000
2.876,2.521607e-01,2.761,2.995,1000000
3.120,1.546965e-01,2.995,3.249,1000000
3.384,9.233137e-02,3.249,3.525,1000000
3.671,5.757044e-02,3.525,3.824,1000000
3.982,4.009269e-02,3.824,4.148,1000000
4.320,2.539298e-02,4.148,4.499,1000000
4.686,1.834578e-02,4.499,4.881,1000000
5.084,1.386760e-02,4.881,5.295,1000000
5.514,9.546703e-03,5.295,5.743,1000000
5.982,7.002879e-03,5.743,6.230,1000000
6.489,5.093996e-03,6.230,6.759,1000000
7.039,3.751391e-03,6.759,7.332,1000000
7.636,2.721279e-03,7.332,7.953,1000000
8.283,2.286931e-03,7.953,8.627,1000000
8.986,1.605302e-03,8.627,9.359,1000000
9.747,1.332213e-03,9.359,10.152,1000000
10.574,9.620496e-04,10.152,11.013,1000000
11.470,9.636657e-04,11.013,11.946,1000000
12.443,6.780828e-04,11.946,12.959,1000000
13.497,6.070780e-04,12.959,14.058,1000000
14.642,4.939183e-04,14.058,15.250,1000000
15.883,3.236171e-04,15.250,16.542,1000000
17.229,3.279545e-04,16.542,17.945,1000000
18.690,3.427090e-04,17.945,19.466,1000000
20.274,2.592157e-04,19.466,21.116,1000000
21.993,2.350414e-04,21.116,22.907,1000000
23.858,2.185107e-04,22.907,24.848,1000000
25.880,1.642363e-04,24.848,26.955,1000000
28.074,1.542159e-04,26.955,29.240,1000000
30.454,1.231110e-04,29.240,31.719,1000000
